time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-12-24 00:00:00,1219.98,1221.2,1219.2,1219.2,3504.0042,4275795.610773,14988.0,1670.9186,2038996.687211
2022-12-24 01:00:00,1219.2,1219.62,1215.88,1215.97,4964.5811,6047018.564331,11188.0,2201.5713,2681711.409569
2022-12-24 02:00:00,1215.96,1217.57,1215.15,1216.76,4555.6179,5542646.336087,13851.0,2223.3763,2705025.106369
2022-12-24 03:00:00,1216.75,1219.0,1216.66,1218.83,4912.7657,5983711.168697,14351.0,2566.6006,3125865.305527
2022-12-24 04:00:00,1218.84,1219.03,1217.22,1217.47,3444.5646,4195743.406103,10575.0,1745.147,2125629.610317
2022-12-24 05:00:00,1217.48,1217.71,1215.03,1216.8,5547.1669,6748022.58514,13691.0,2785.1556,3388097.507097
2022-12-24 06:00:00,1216.81,1217.02,1214.69,1216.83,4106.5698,4993595.271792,14073.0,2049.4076,2492129.130886
2022-12-24 07:00:00,1216.83,1220.97,1216.63,1220.44,6787.537,8274426.13492,14411.0,4074.5016,4966570.532269
2022-12-24 08:00:00,1220.45,1221.01,1218.04,1218.27,6554.3232,7992978.174862,17642.0,3121.7601,3806941.951272
2022-12-24 09:00:00,1218.27,1219.2,1216.79,1218.3,5517.7494,6721231.782033,11519.0,2802.5799,3413957.203251
2022-12-24 10:00:00,1218.3,1218.82,1218.02,1218.2,2002.6395,2440270.892402,9276.0,817.081,995608.806071
2022-12-24 11:00:00,1218.2,1220.16,1218.15,1219.54,8040.0179,9805507.114115,11408.0,4641.4358,5660472.620112
2022-12-24 12:00:00,1219.54,1219.54,1217.79,1217.79,4438.2831,5409020.582794,11523.0,1846.2774,2250036.947751
2022-12-24 13:00:00,1217.79,1219.23,1217.79,1218.02,2456.104,2993018.656669,9293.0,1365.9772,1664530.938448
2022-12-24 14:00:00,1218.03,1219.46,1217.78,1218.39,3443.8035,4197024.324208,13479.0,1667.3449,2032030.361953
2022-12-24 15:00:00,1218.39,1219.32,1218.06,1219.15,2779.2597,3387023.874671,9948.0,1246.6278,1519197.520384
2022-12-24 16:00:00,1219.14,1219.58,1217.63,1219.01,4995.7253,6089202.648107,10034.0,3272.9502,3989332.603608
2022-12-24 17:00:00,1219.01,1220.23,1218.74,1219.85,4415.1396,5383705.400842,10506.0,2362.6846,2881082.295659
2022-12-24 18:00:00,1219.85,1222.17,1219.8,1221.94,5552.8243,6780080.594536,10859.0,2831.1969,3456942.473423
2022-12-24 19:00:00,1221.94,1227.99,1221.93,1223.6,13370.4934,16372322.275432,16231.0,6824.3726,8355110.367707
2022-12-24 20:00:00,1223.6,1223.87,1221.55,1221.85,5439.8747,6650440.815239,10743.0,2148.3995,2626413.55945
2022-12-24 21:00:00,1221.86,1222.59,1218.15,1218.92,7341.5144,8958542.228503,13026.0,2732.9247,3335420.820231
2022-12-24 22:00:00,1218.92,1220.18,1218.03,1218.57,5371.5819,6547532.89401,14203.0,2692.5954,3282073.838818
2022-12-24 23:00:00,1218.57,1221.98,1218.02,1220.41,4159.389,5075477.337213,10175.0,2086.5918,2545926.226789
2022-12-25 00:00:00,1220.42,1221.71,1219.77,1221.62,2344.9338,2862856.618696,7371.0,1186.1073,1448010.349213
2022-12-25 01:00:00,1221.62,1224.31,1221.61,1221.85,4990.874,6104165.916106,9919.0,2538.9413,3105072.165105
2022-12-25 02:00:00,1221.85,1222.21,1219.9,1220.15,2955.6321,3608694.597742,9866.0,1481.2525,1808523.749447
2022-12-25 03:00:00,1220.15,1222.27,1220.11,1221.37,2306.9677,2817326.776359,9942.0,1002.0194,1223691.575015
2022-12-25 04:00:00,1221.36,1221.37,1218.85,1219.0,3595.0242,4385696.408727,11983.0,1684.6489,2054861.401429
2022-12-25 05:00:00,1219.01,1219.64,1215.69,1218.91,8983.7754,10936890.648368,13051.0,4270.7025,5198867.200702
2022-12-25 06:00:00,1218.92,1219.31,1218.01,1219.21,2061.4929,2512389.520174,9944.0,897.6988,1093987.141849
2022-12-25 07:00:00,1219.21,1220.82,1218.12,1219.8,2937.997,3581796.104461,9851.0,1510.7596,1841712.536899
2022-12-25 08:00:00,1219.81,1220.47,1219.65,1220.05,2851.6181,3479304.862926,12442.0,1449.4743,1768539.798691
2022-12-25 09:00:00,1220.05,1222.34,1220.05,1221.01,6485.9776,7918720.042455,14115.0,3726.8529,4550032.181347
2022-12-25 10:00:00,1221.01,1221.14,1217.99,1218.87,3658.9212,4461424.502421,12776.0,1567.3578,1910912.654275
2022-12-25 11:00:00,1218.87,1219.28,1217.34,1217.54,6003.5071,7314876.503295,12812.0,2335.1706,2844868.12012
2022-12-25 12:00:00,1217.55,1219.07,1216.67,1218.39,4275.8938,5207591.054693,9565.0,2472.9765,3011714.751023
