time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-12-24 12:00:00,16824.42,16833.0,16820.0,16821.25,3736.17227,62860888.5668489,123112.0,1844.40437,31032526.0363186
2022-12-24 13:00:00,16821.6,16830.26,16815.09,16818.3,3256.73464,54789774.1463715,116674.0,1575.75075,26510197.7106083
2022-12-24 14:00:00,16818.44,16838.91,16816.02,16832.41,3200.84937,53854117.4248991,124789.0,1662.91567,27978827.6908021
2022-12-24 15:00:00,16832.1,16840.0,16830.31,16836.35,3217.25347,54162231.9936108,123163.0,1583.0437,26650629.9511759
2022-12-24 16:00:00,16835.93,16841.42,16823.0,16836.15,3468.62188,58391798.5729128,119267.0,1698.00594,28584923.9366317
2022-12-24 17:00:00,16836.35,16844.9,16830.4,16841.67,3539.13728,59587424.4438288,121008.0,1819.56354,30636019.1248631
2022-12-24 18:00:00,16841.98,16847.54,16828.01,16842.36,3112.79265,52412920.4292937,112357.0,1577.27749,26558387.5608609
2022-12-24 19:00:00,16842.36,16865.0,16833.57,16843.59,4612.53438,77713609.2020001,143115.0,2351.88472,39625894.447236
2022-12-24 20:00:00,16843.92,16846.49,16835.74,16840.5,2952.35108,49718981.7331636,103470.0,1488.08875,25060405.2502736
2022-12-24 21:00:00,16840.25,16869.99,16821.01,16823.97,5385.72774,90687242.9670599,130618.0,2624.20126,44190773.2866056
2022-12-24 22:00:00,16823.97,16841.57,16814.0,16825.85,4557.31583,76691817.2935452,113496.0,2186.42774,36795411.8167824
2022-12-24 23:00:00,16826.22,16853.72,16808.15,16836.12,6067.43073,102140041.6167022,144618.0,2936.24676,49428284.6367324
2022-12-25 00:00:00,16835.73,16847.97,16830.61,16843.95,3576.71411,60226516.0809906,121256.0,1770.57451,29814082.7338802
2022-12-25 01:00:00,16843.95,16852.95,16840.57,16845.01,3481.91113,58656114.0393548,128486.0,1744.45007,29387460.9021505
2022-12-25 02:00:00,16844.66,16848.1,16823.02,16827.29,3321.7,55917302.4865691,125160.0,1586.41904,26706078.1006786
2022-12-25 03:00:00,16826.93,16838.84,16825.0,16832.14,2789.13719,46948659.5661172,110424.0,1395.61977,23492287.6769402
2022-12-25 04:00:00,16832.14,16833.35,16815.03,16822.38,4120.28942,69323311.4487721,121365.0,2140.21282,36009162.1249547
2022-12-25 05:00:00,16822.27,16843.0,16802.0,16831.74,7570.43335,127339993.4550736,171517.0,3543.84271,59610344.3422779
2022-12-25 06:00:00,16832.27,16833.92,16816.76,16829.88,4193.8365,70563630.2652412,137365.0,2011.08905,33838022.8704872
2022-12-25 07:00:00,16829.88,16832.22,16818.25,16821.97,4158.7746,69974516.7458241,131701.0,2043.60117,34385468.504894
2022-12-25 08:00:00,16821.97,16834.41,16821.71,16830.22,3922.19394,66008091.881783,135419.0,2006.66836,33771395.3444915
2022-12-25 09:00:00,16830.22,16835.93,16826.46,16832.5,3969.82377,66813575.0984977,137287.0,1994.29402,33565188.4723675
2022-12-25 10:00:00,16832.25,16834.16,16821.0,16825.29,4217.28062,70962363.6765498,141762.0,2072.30468,34870170.7310972
2022-12-25 11:00:00,16825.29,16827.54,16815.4,16821.51,4282.39136,72043608.5919543,135978.0,2130.11112,35835904.1770859
2022-12-25 12:00:00,16821.51,16824.99,16815.44,16818.25,4262.45293,71695953.2283034,136044.0,2107.76008,35453840.5966659
2022-12-25 13:00:00,16818.68,16823.04,16800.0,16811.53,4904.57322,82461431.8024792,142429.0,2420.02928,40689011.6737526
2022-12-25 14:00:00,16811.82,16832.99,16721.0,16828.68,12101.14696,203062045.5698853,245701.0,5910.16041,99179351.2302767
